Expiration Date,T_days,T,Strike,K_over_S0,Forward,K_over_F0,Option_type,Root,Contract,Market_price,IV_BDD,r_GSW,Discount_factor,IV_market,BS_reconstructed_price,BS_reconstruction_error,IV_BDD_error,IV_RH,Residual_IV,Abs_error_IV
2022-09-14,1,0.0027378507871321,3930,0.998295296219065,3936.9814263393455,0.9982267057973304,Put,SPXW,SPXW220914P03930000,18.75,0.3438,0.0364992080783356,0.9999000756072076,0.2687540216100699,18.75,0.0,0.07504597838993,0.27071777039988454,0.0019637487898146455,0.0019637487898146455
2022-09-14,1,0.0027378507871321,3935,0.9995653920157814,3936.9814263393455,0.9994967143288792,Put,SPXW,SPXW220914P03935000,20.9,0.3421,0.0364992080783356,0.9999000756072076,0.2662885608806289,20.8999999999985,1.4992451724538114e-12,0.0758114391193711,0.2675747444960052,0.0012861836153763018,0.0012861836153763018
2022-09-14,1,0.0027378507871321,3940,1.000835487812498,3936.9814263393455,1.000766722860428,Call,SPXW,SPXW220914C03940000,22.450000000000003,0.3317,0.0364992080783356,0.9999000756072076,0.2910882002499617,22.450000000025057,2.5053736862901133e-11,0.0406117997500383,0.2646704039760701,-0.02641779627389157,0.02641779627389157
2022-09-14,1,0.0027378507871321,3945,1.002105583609214,3936.9814263393455,1.002036731391977,Call,SPXW,SPXW220914C03945000,19.950000000000003,0.3293,0.0364992080783356,0.9999000756072076,0.2886534931698506,19.950000000000045,4.263256414560601e-14,0.0406465068301493,0.26203570030864504,-0.02661779286120558,0.02661779286120558
2022-09-14,1,0.0027378507871321,3950,1.0033756794059303,3936.9814263393455,1.0033067399235254,Call,SPXW,SPXW220914C03950000,17.6,0.3281,0.0364992080783356,0.9999000756072076,0.2859716672200136,17.599999999997863,2.1387336346379016e-12,0.0421283327799864,0.25969918707910494,-0.02627248014090866,0.02627248014090866
2022-09-14,1,0.0027378507871321,3955,1.004645775202647,3936.9814263393455,1.0045767484550745,Call,SPXW,SPXW220914C03955000,15.45,0.3264,0.0364992080783356,0.9999000756072076,0.2836443763139483,15.450000000000044,4.618527782440651e-14,0.0427556236860517,0.25768507404544233,-0.025959302268505957,0.025959302268505957
2022-09-14,1,0.0027378507871321,3960,1.0059158709993632,3936.9814263393455,1.005846756986623,Call,SPXW,SPXW220914C03960000,13.45,0.3243,0.0364992080783356,0.9999000756072076,0.2810408221615121,13.450000000000273,2.7355895326763857e-13,0.0432591778384878,0.25601140376277515,-0.025029418398736958,0.025029418398736958
2022-09-14,1,0.0027378507871321,3965,1.0071859667960796,3936.9814263393455,1.007116765518172,Call,SPXW,SPXW220914C03965000,11.6,0.3217,0.0364992080783356,0.9999000756072076,0.2781468758099723,11.599999999999907,9.059419880941277e-14,0.0435531241900276,0.2546886557982415,-0.023458220011730813,0.023458220011730813
2022-09-14,1,0.0027378507871321,3970,1.008456062592796,3936.9814263393455,1.0083867740497203,Call,SPXW,SPXW220914C03970000,10.0,0.3205,0.0364992080783356,0.9999000756072076,0.2763855256079504,10.0,0.0,0.0441144743920496,0.2537190288930816,-0.022666496714868756,0.022666496714868756
2022-09-14,1,0.0027378507871321,3975,1.0097261583895123,3936.9814263393455,1.0096567825812692,Call,SPXW,SPXW220914C03975000,8.65,0.3208,0.0364992080783356,0.9999000756072076,0.27600425662037,8.649999999993838,6.162181875879469e-12,0.0447957433796299,0.25309652578463865,-0.022907730835731333,0.022907730835731333
2022-09-14,1,0.0027378507871321,3980,1.0109962541862287,3936.9814263393455,1.010926791112818,Call,SPXW,SPXW220914C03980000,7.3,0.3183,0.0364992080783356,0.9999000756072076,0.2733442731243656,7.299999999999727,2.7267077484793845e-13,0.0449557268756343,0.25280780399667907,-0.02053646912768653,0.02053646912768653
2022-09-14,1,0.0027378507871321,3985,1.0122663499829452,3936.9814263393455,1.0121967996443668,Call,SPXW,SPXW220914C03985000,6.15,0.3168,0.0364992080783356,0.9999000756072076,0.2715009371584985,6.149999999999977,2.3092638912203256e-14,0.0452990628415014,0.25283360606684296,-0.018667331091655526,0.018667331091655526
2022-09-14,1,0.0027378507871321,3990,1.0135364457796614,3936.9814263393455,1.0134668081759155,Call,SPXW,SPXW220914C03990000,5.15,0.3155,0.0364992080783356,0.9999000756072076,0.2698860673591935,5.150000000000205,2.042810365310288e-13,0.0456139326408064,0.2531504887834488,-0.016735578575744703,0.016735578575744703
2022-09-16,3,0.007472051106548,3845,0.9767036676748868,3937.4495750257634,0.9765204421633366,Put,SPX,SPX220916P03845000,9.15,0.3146,0.0365116026519631,0.9997272206500564,0.2921671571131902,9.14999999999975,2.504663143554353e-13,0.0224328428868097,0.3055617613311187,0.013394604217928485,0.013394604217928485
2022-09-16,3,0.007472051106548,3885,0.9868644340486176,3937.4495750257634,0.9866793024199122,Put,SPX,SPX220916P03885000,16.55,0.2966,0.0365116026519631,0.9997272206500564,0.2744661898658987,16.550000000033606,3.360511868777394e-11,0.0221338101341012,0.2833197028624893,0.008853512996590596,0.008853512996590596
2022-09-16,3,0.007472051106548,3925,0.9970252004223488,3937.4495750257634,0.9968381626764878,Put,SPX,SPX220916P03925000,29.2,0.2814,0.0365116026519631,0.9997272206500564,0.2587813690153562,29.199999999999815,1.8118839761882557e-13,0.0226186309846437,0.26332933813740633,0.004547969122050133,0.004547969122050133
2022-09-16,3,0.007472051106548,3965,1.0071859667960796,3937.4495750257634,1.0069970229330636,Call,SPX,SPX220916C03965000,23.2,0.2696,0.0365116026519631,0.9997272206500564,0.258951855253997,23.200000000000045,4.618527782440651e-14,0.0106481447460029,0.24943820470015282,-0.009513650553844177,0.009513650553844177
2022-09-16,3,0.007472051106548,4005,1.0173467331698105,3937.4495750257634,1.0171558831896392,Call,SPX,SPX220916C04005000,10.55,0.2612,0.0365116026519631,0.9997272206500564,0.2500172605140382,10.550000000000182,1.8118839761882557e-13,0.0111827394859617,0.24520659804543435,-0.004810662468603871,0.004810662468603871
2022-09-16,3,0.0082135523613963,3565,0.9055783030587702,3937.522946229548,0.9053915491244908,Put,SPXW,SPXW220916P03565000,0.825,0.5304,0.0365135381688637,0.9997001391096164,0.4983310003066291,0.8250000000000668,6.683542608243442e-14,0.0320689996933708,0.44292652594773296,-0.055404474358896116,0.055404474358896116
2022-09-16,3,0.0082135523613963,3620,0.9195493568226504,3937.522946229548,0.9193597216916288,Put,SPXW,SPXW220916P03620000,1.125,0.4803,0.0365135381688637,0.9997001391096164,0.4511477059089115,1.125000000000071,7.105427357601003e-14,0.0291522940910884,0.4177962183306039,-0.03335148757830764,0.03335148757830764
2022-09-16,3,0.0082135523613963,3665,0.9309802189930976,3937.522946229548,0.9307882265192872,Put,SPXW,SPXW220916P03665000,1.525,0.4407,0.0365135381688637,0.9997001391096164,0.4138591404968811,1.5249999999999346,6.52811138479592e-14,0.0268408595031188,0.39640994568766846,-0.017449194809212643,0.017449194809212643
2022-09-16,3,0.0082135523613963,3695,0.9386007937733958,3937.522946229548,0.9384072297377264,Put,SPXW,SPXW220916P03695000,1.925,0.4152,0.0365135381688637,0.9997001391096164,0.3897925435274851,1.9250000000000969,9.658940314238863e-14,0.0254074564725148,0.3816984739619745,-0.00809406956551062,0.00809406956551062
