Expiration Date,T_days,T,Strike,K_over_S0,Forward,K_over_F0,Option_type,Root,Contract,Market_price,IV_BDD,r_GSW,Discount_factor,IV_market,BS_reconstructed_price,BS_reconstruction_error,IV_BDD_error,IV_Heston,Residual_IV_Heston,Abs_error_IV_Heston
2022-09-16,3,0.0082135523613963,4045,1.0275074995435416,3937.522946229548,1.0272956006195135,Call,SPXW,SPXW220916C04045000,6.35,0.2778,0.0365135381688637,0.9997001391096164,0.2656151038850872,6.349999999999454,5.453415496958769e-13,0.0121848961149127,0.24899050692455954,-0.01662459696052765,0.01662459696052765
2022-09-16,3,0.0082135523613963,4080,1.036398170120556,3937.522946229548,1.0361844377076923,Call,SPXW,SPXW220916C04080000,3.05,0.2799,0.0365135381688637,0.9997001391096164,0.267025342857053,3.0499999999999545,4.5297099404706393e-14,0.0128746571429469,0.2565350955782834,-0.010490247278769571,0.010490247278769571
2022-09-20,7,0.0191649555099247,3720,0.9449512727569775,3938.608044430406,0.9444961158956804,Put,SPXW,SPXW220920P03720000,5.25,0.297,0.036541941945302,0.9992999204784726,0.2885811413740663,5.250000000016257,1.6257217794191092e-11,0.0084188586259336,0.3328139955825552,0.04423285420848888,0.04423285420848888
2022-09-20,7,0.0191649555099247,3735,0.9487615601471266,3938.608044430406,0.9483045679759048,Put,SPXW,SPXW220920P03735000,6.05,0.2909,0.036541941945302,0.9992999204784726,0.2826880809300119,6.050000000000864,8.64197602368222e-13,0.008211919069988,0.32640012540247076,0.043712044472458855,0.043712044472458855
2022-09-20,7,0.0191649555099247,3750,0.9525718475372758,3938.608044430406,0.9521130200561294,Put,SPXW,SPXW220920P03750000,7.05,0.2857,0.036541941945302,0.9992999204784726,0.2775420915714505,7.049999999999898,1.021405182655144e-13,0.0081579084285494,0.319905156383951,0.04236306481250052,0.04236306481250052
2022-09-20,7,0.0191649555099247,3770,0.9576522307241412,3938.608044430406,0.9571909561630956,Put,SPXW,SPXW220920P03770000,8.7,0.2792,0.036541941945302,0.9992999204784726,0.2711702360005962,8.700000000006753,6.753708703399752e-12,0.0080297639994037,0.31112816285118244,0.039957926850586245,0.039957926850586245
2022-09-20,7,0.0191649555099247,3785,0.9614625181142904,3938.608044430406,0.96099940824332,Put,SPXW,SPXW220920P03785000,10.15,0.2741,0.036541941945302,0.9992999204784726,0.2661334821277072,10.150000000002253,2.2506441155201173e-12,0.0079665178722927,0.3044702785317662,0.038336796404059015,0.038336796404059015
2022-09-20,7,0.0191649555099247,3800,0.9652728055044396,3938.608044430406,0.9648078603235444,Put,SPXW,SPXW220920P03800000,12.0,0.2702,0.036541941945302,0.9992999204784726,0.2623320082759094,12.000000000000796,7.958078640513122e-13,0.0078679917240905,0.29776168982215717,0.03542968154624776,0.03542968154624776
2022-09-20,7,0.0191649555099247,3815,0.9690830928945886,3938.608044430406,0.968616312403769,Put,SPXW,SPXW220920P03815000,14.1,0.2663,0.036541941945302,0.9992999204784726,0.2581474271893216,14.099999999993088,6.911804462106375e-12,0.0081525728106783,0.29101780947806155,0.03287038228873995,0.03287038228873995
2022-09-20,7,0.0191649555099247,3830,0.9728933802847376,3938.608044430406,0.9724247644839936,Put,SPXW,SPXW220920P03830000,16.700000000000003,0.2628,0.036541941945302,0.9992999204784726,0.2550078041403761,16.700000000000045,4.263256414560601e-14,0.0077921958596238,0.28426072527229157,0.029252921131915466,0.029252921131915466
2022-09-20,7,0.0191649555099247,3850,0.9779737634716033,3938.608044430406,0.9775027005909596,Put,SPXW,SPXW220920P03850000,20.75,0.2583,0.036541941945302,0.9992999204784726,0.250487923848484,20.749999999997044,2.9558577807620168e-12,0.0078120761515159,0.27528962263751694,0.024801698789032933,0.024801698789032933
2022-09-20,7,0.0191649555099247,3865,0.9817840508617522,3938.608044430406,0.981311152671184,Put,SPXW,SPXW220920P03865000,24.35,0.2549,0.036541941945302,0.9992999204784726,0.2472549851477253,24.35000000000832,8.320455435750773e-12,0.0076450148522747,0.26865271381288514,0.02139772866515985,0.02139772866515985
2022-09-20,7,0.0191649555099247,3880,0.9855943382519012,3938.608044430406,0.9851196047514086,Put,SPXW,SPXW220920P03880000,28.4,0.2522,0.036541941945302,0.9992999204784726,0.2436987900222605,28.39999999999964,3.623767952376511e-13,0.0085012099777394,0.262164763460069,0.01846597343780851,0.01846597343780851
2022-09-20,7,0.0191649555099247,3895,0.9894046256420505,3938.608044430406,0.9889280568316332,Put,SPXW,SPXW220920P03895000,33.150000000000006,0.2489,0.036541941945302,0.9992999204784726,0.2408577964298952,33.14999999999873,1.2789769243681805e-12,0.0080422035701048,0.25590744468145155,0.015049648251556358,0.015049648251556358
2022-09-20,7,0.0191649555099247,3910,0.9932149130321996,3938.608044430406,0.9927365089118576,Put,SPXW,SPXW220920P03910000,38.5,0.2461,0.036541941945302,0.9992999204784726,0.2379687251350418,38.49999999995043,4.956746124662459e-11,0.0081312748649581,0.24998419398069058,0.012015468845648775,0.012015468845648775
