Expiration Date,T_days,T,Strike,K_over_S0,Forward,K_over_F0,Option_type,Root,Contract,Market_price,IV_BDD,r_GSW,Discount_factor,IV_market,BS_reconstructed_price,BS_reconstruction_error,IV_BDD_error,IV_RH,Residual_IV,Abs_error_IV
2023-03-17,185,0.5057608943645905,4925,1.2510443597656222,3989.004760588347,1.2346438010451513,Call,SPX,SPX230317C04925000,10.55,0.1773,0.0374946546351107,0.9812153426887404,0.1767199448857183,10.550000000000296,2.9487523534044163e-13,0.0005800551142816,0.18905593947750737,0.012335994591789079,0.012335994591789079
2023-03-17,185,0.5057608943645905,5000,1.2700957967163675,3989.004760588347,1.2534454832945698,Call,SPX,SPX230317C05000000,7.550000000000001,0.1759,0.0374946546351107,0.9812153426887404,0.1752773071446804,7.549999999985061,1.4939161019356106e-11,0.0006226928553196,0.1893254879645632,0.014048180819882794,0.014048180819882794
2023-04-21,220,0.601585671914214,2800,0.7112536461611659,3999.292067136095,0.7001239101812058,Put,SPX,SPX230421P02800000,42.4,0.3588,0.0376199246669976,0.977622566109984,0.3577453689191474,42.40000000003778,3.777955726036453e-11,0.0010546310808526,0.3527000946977219,-0.0050452742214254775,0.0050452742214254775
2023-04-21,220,0.601585671914214,2950,0.749356520062657,3999.292067136095,0.7376305482266275,Put,SPX,SPX230421P02950000,53.6,0.3398,0.0376199246669976,0.977622566109984,0.3387834665962267,53.60000000000008,7.815970093361102e-14,0.0010165334037732,0.33711261925911534,-0.0016708473371113697,0.0016708473371113697
2023-04-21,220,0.601585671914214,3075,0.7811089149805661,3999.292067136095,0.7688860799311457,Put,SPX,SPX230421P03075000,65.65,0.3254,0.0376199246669976,0.977622566109984,0.3244088887307626,65.64999999983229,1.6771650734881402e-10,0.0009911112692373,0.32425698360835903,-0.000151905122403595,0.000151905122403595
2023-04-21,220,0.601585671914214,3150,0.8001603519313116,3999.292067136095,0.7876393989538565,Put,SPX,SPX230421P03150000,74.2,0.3172,0.0376199246669976,0.977622566109984,0.3161676339739496,74.20000000010475,1.0474821010575396e-10,0.0010323660260503,0.3165927324042224,0.00042509843027283,0.00042509843027283
2023-04-21,220,0.601585671914214,3225,0.8192117888820571,3999.292067136095,0.8063927179765673,Put,SPX,SPX230421P03225000,84.1,0.3095,0.0376199246669976,0.977622566109984,0.3084858597655781,84.0999999999998,1.9895196601282805e-13,0.0010141402344218,0.3089715358235181,0.0004856760579400321,0.0004856760579400321
2023-04-21,220,0.601585671914214,3300,0.8382632258328027,3999.292067136095,0.8251460369992782,Put,SPX,SPX230421P03300000,95.3,0.3021,0.0376199246669976,0.977622566109984,0.3010447994935776,95.29999999993004,6.996003776293945e-11,0.0010552005064223,0.3013963062745861,0.00035150678100848154,0.00035150678100848154
2023-04-21,220,0.601585671914214,3400,0.86366514176713,3999.292067136095,0.8501504623628927,Put,SPX,SPX230421P03400000,112.55,0.2926,0.0376199246669976,0.977622566109984,0.2915232064555268,112.5500000000751,7.510436716984259e-11,0.0010767935444732,0.2913634187020461,-0.0001597877534807446,0.0001597877534807446
2023-04-21,220,0.601585671914214,3475,0.8827165787178756,3999.292067136095,0.8689037813856035,Put,SPX,SPX230421P03475000,127.4,0.2857,0.0376199246669976,0.977622566109984,0.2846279687098837,127.4000000000002,1.9895196601282805e-13,0.0010720312901162,0.28388680854978626,-0.0007411601600974538,0.0007411601600974538
2023-04-21,220,0.601585671914214,3550,0.9017680156686212,3999.292067136095,0.8876571004083145,Put,SPX,SPX230421P03550000,143.9,0.2789,0.0376199246669976,0.977622566109984,0.277754084383645,143.90000000029647,2.9646685106854415e-10,0.0011459156163549,0.2764572004755324,-0.0012968839081126116,0.0012968839081126116
2023-04-21,220,0.601585671914214,3650,0.9271699316029484,3999.292067136095,0.9126615257719288,Put,SPX,SPX230421P03650000,169.05,0.2701,0.0376199246669976,0.977622566109984,0.2689269621312039,169.04999999991287,8.714096111361869e-11,0.001173037868796,0.2666493340917991,-0.0022776280394047888,0.0022776280394047888
2023-04-21,220,0.601585671914214,3725,0.946221368553694,3999.292067136095,0.9314148447946398,Put,SPX,SPX230421P03725000,190.2,0.2635,0.0376199246669976,0.977622566109984,0.2622644669798628,190.199999999993,6.991740519879386e-12,0.0012355330201371,0.2593923737699821,-0.0028720932098806884,0.0028720932098806884
2023-04-21,220,0.601585671914214,3800,0.9652728055044396,3999.292067136095,0.9501681638173508,Put,SPX,SPX230421P03800000,213.6,0.257,0.0376199246669976,0.977622566109984,0.2556645569319858,213.59999999982847,1.7152501641248816e-10,0.0013354430680141,0.2522436292306963,-0.003420927701289489,0.003420927701289489
