Expiration Date,T_days,T,Strike,K_over_S0,Forward,K_over_F0,Option_type,Root,Contract,Market_price,IV_BDD,r_GSW,Discount_factor,IV_market,BS_reconstructed_price,BS_reconstruction_error,IV_BDD_error,IV_RH__base_80_128_L10,Residual__base_80_128_L10,IV_RH__fine_160_256_L10,Residual__fine_160_256_L10,IV_RH__veryfine_320_512_L10,Residual__veryfine_320_512_L10,IV_RH__fine_160_256_L8,Residual__fine_160_256_L8,IV_RH__fine_160_256_L12,Residual__fine_160_256_L12,Delta_IV__160_256_vs_80_128,Delta_IV__320_512_vs_160_256,Delta_IV__L8_vs_L10_fine,Delta_IV__L12_vs_L10_fine
2023-07-21,311,0.8507300935432353,3525,0.8954175366850392,4026.345921676482,0.8754836441207384,Put,SPX,SPX230721P03525000,176.85000000000002,0.2785,0.0378668434954496,0.968298895224149,0.2762024418994777,176.85000000024343,2.4340351956197987e-10,0.0022975581005222,0.2727805956041533,-0.0034218462953243822,0.2730646979439077,-0.0031377439555699826,0.2731468056292361,-0.0030556362702415796,0.2730647947542402,-0.0031376471452374544,0.27306778947728955,-0.0031346524221881333,0.0002841023397543996,8.210768532840307e-05,9.681033252828541e-08,3.0915333818493096e-06
2023-07-21,311,0.8507300935432353,3600,0.9144689736357848,4026.345921676482,0.8941109556977754,Put,SPX,SPX230721P03600000,195.8,0.2725,0.0378668434954496,0.968298895224149,0.2701816913074553,195.80000000033624,3.3622882256167936e-10,0.0023183086925447,0.26657154183819814,-0.00361014946925714,0.2668537492319463,-0.0033279420755089606,0.2669351598389189,-0.0032465314685363733,0.2668538369515873,-0.003327854355867965,0.26685665137380354,-0.003325039933651741,0.0002822073937481795,8.141060697258728e-05,8.771964099540952e-08,2.902141857219487e-06
2023-07-21,311,0.8507300935432353,3675,0.9335204105865302,4026.345921676482,0.9127382672748124,Put,SPX,SPX230721P03675000,216.35,0.2666,0.0378668434954496,0.968298895224149,0.2641405830507305,216.3500000000004,3.694822225952521e-13,0.0024594169492694,0.2604482515556265,-0.0036923314951040065,0.260725705857624,-0.0034148771931065136,0.2608065510901942,-0.0033340319605363322,0.2607257898511293,-0.003414793199601196,0.2607284866243407,-0.003412096426389788,0.0002774543019974929,8.084523257018139e-05,8.39935053176255e-08,2.780766716725669e-06
2023-07-21,311,0.8507300935432353,3725,0.946221368553694,4026.345921676482,0.925156474992837,Put,SPX,SPX230721P03725000,231.05,0.2627,0.0378668434954496,0.968298895224149,0.2601462027304568,231.04999999999973,2.842170943040401e-13,0.0025537972695431,0.2564189376933878,-0.003727265037068994,0.25669148797762037,-0.0034547147528364297,0.25677203068962495,-0.0033741720408318465,0.2566915732531093,-0.0034546294773474817,0.2566942306521146,-0.0034519720783421914,0.00027255028423256444,8.054271200458318e-05,8.527548894798898e-08,2.742674494238262e-06
2023-07-21,311,0.8507300935432353,3800,0.9652728055044396,4026.345921676482,0.943783786569874,Put,SPX,SPX230721P03800000,254.6,0.2568,0.0378668434954496,0.968298895224149,0.2541361278754089,254.6000000000001,1.4210854715202006e-13,0.002663872124591,0.25046238044543623,-0.0036737474299726736,0.25072642561805014,-0.00340970225735876,0.25080661817306227,-0.0033295097023466336,0.2507265108704336,-0.003409617004975274,0.2507291212759468,-0.0034070065994620813,0.0002640451726139137,8.01925550121263e-05,8.525238348600084e-08,2.6956578966785827e-06
2023-07-21,311,0.8507300935432353,3875,0.984324242455185,4026.345921676482,0.9624110981469112,Put,SPX,SPX230721P03875000,280.1,0.2509,0.0378668434954496,0.968298895224149,0.2481379187483753,280.09999999999104,8.981260180007666e-12,0.0027620812516246,0.2446219712483789,-0.003515947499996397,0.24487894569387314,-0.003258973054502151,0.24495890539371118,-0.003179013354664112,0.2448790243271458,-0.00325889442122948,0.24488155271274237,-0.003256366035632924,0.00025697444549424575,7.995969983803919e-05,7.863327267099152e-08,2.6070188692273177e-06
2023-07-21,311,0.8507300935432353,3950,1.0033756794059303,4026.345921676482,0.981038409723948,Put,SPX,SPX230721P03950000,307.70000000000005,0.2452,0.0378668434954496,0.968298895224149,0.2421713053410462,307.6999999999998,2.273736754432321e-13,0.0030286946589537,0.23891397866379105,-0.0032573266772551457,0.23916814815498832,-0.00300315718605787,0.23924799210381567,-0.0029233132372305237,0.23916822174484625,-0.0030030835961999403,0.23917064932479526,-0.0030006560162509355,0.00025416949119727583,7.984394882734613e-05,7.358985792960127e-08,2.501169806934378e-06
2023-07-21,311,0.8507300935432353,4000,1.0160766373730945,4026.345921676482,0.9934566174419728,Put,SPX,SPX230721P04000000,327.15,0.2412,0.0378668434954496,0.968298895224149,0.238085772035979,327.14999999999986,1.1368683772161605e-13,0.0031142279640209,0.23519277567672991,-0.0028929963592490837,0.2354480772864006,-0.0026376947495783953,0.23552790567438153,-0.002557866361597466,0.23544815230904512,-0.002637619726933882,0.23545053648052683,-0.00263523555545217,0.0002553016096706884,7.982838798092917e-05,7.502264451342278e-08,2.459194126225306e-06
2023-07-21,311,0.8507300935432353,4075,1.0351280743238398,4026.345921676482,1.0120839290190098,Call,SPX,SPX230721C04075000,317.15,0.2352,0.0378668434954496,0.968298895224149,0.2361772686119554,317.14999999999986,1.1368683772161605e-13,0.0009772686119554,0.22975737626912338,-0.006419892342832023,0.23001823554221706,-0.006159033069738334,0.23009811201136024,-0.006079156600595159,0.2300183157439148,-0.006158952868040607,0.23002070260300497,-0.006156566008950426,0.0002608592730936887,7.987646914317525e-05,8.020169772748886e-08,2.4670607879084816e-06
2023-07-21,311,0.8507300935432353,4150,1.054179511274585,4026.345921676482,1.0307112405960466,Call,SPX,SPX230721C04150000,278.4,0.2294,0.0378668434954496,0.968298895224149,0.2303433225601999,278.39999999999986,1.1368683772161605e-13,0.0009433225601999,0.22452683331978057,-0.005816489240419331,0.2247954989173319,-0.005547823642868016,0.22487546996607502,-0.0054678525941248834,0.22479557850046772,-0.005547744059732185,0.22479802093357312,-0.005545301626626781,0.00026866559755131525,7.997104874313266e-05,7.958313583134036e-08,2.522016241235381e-06
