Expiration Date,T_days,T,Strike,K_over_S0,Forward,K_over_F0,Option_type,Root,Contract,Market_price,IV_BDD,r_GSW,Discount_factor
2022-09-30,17,0.04654346338124572,3960,1.0059158709993632,3941.3325540727437,1.0047363285566873,Call,SPXW,SPXW220930C03960000,73.55,0.2449,0.03661147002828655,0.9982974264110369
2022-09-30,17,0.04654346338124572,3965,1.0071859667960796,3941.3325540727437,1.0060049350321376,Call,SPXW,SPXW220930C03965000,70.9,0.2437,0.03661147002828655,0.9982974264110369
2022-09-30,17,0.04654346338124572,3970,1.008456062592796,3941.3325540727437,1.0072735415075882,Call,SPXW,SPXW220930C03970000,68.4,0.2428,0.03661147002828655,0.9982974264110369
2022-09-30,17,0.04654346338124572,3975,1.0097261583895123,3941.3325540727437,1.0085421479830385,Call,SPXW,SPXW220930C03975000,65.85,0.2416,0.03661147002828655,0.9982974264110369
2022-09-30,17,0.04654346338124572,3980,1.0109962541862287,3941.3325540727437,1.009810754458489,Call,SPXW,SPXW220930C03980000,63.4,0.2406,0.03661147002828655,0.9982974264110369
2022-09-30,17,0.04654346338124572,3985,1.0122663499829452,3941.3325540727437,1.0110793609339392,Call,SPXW,SPXW220930C03985000,61.05,0.2396,0.03661147002828655,0.9982974264110369
2022-09-30,17,0.04654346338124572,3990,1.0135364457796614,3941.3325540727437,1.0123479674093896,Call,SPXW,SPXW220930C03990000,58.7,0.2386,0.03661147002828655,0.9982974264110369
2022-09-30,17,0.04654346338124572,3995,1.0148065415763778,3941.3325540727437,1.01361657388484,Call,SPXW,SPXW220930C03995000,56.45,0.2376,0.03661147002828655,0.9982974264110369
2022-09-30,17,0.04654346338124572,4000,1.0160766373730943,3941.3325540727437,1.0148851803602903,Call,SPXW,SPXW220930C04000000,54.2,0.2366,0.03661147002828655,0.9982974264110369
2022-09-30,17,0.04654346338124572,4005,1.0173467331698105,3941.3325540727437,1.0161537868357406,Call,SPXW,SPXW220930C04005000,52.05,0.2357,0.03661147002828655,0.9982974264110369
2022-09-30,17,0.04654346338124572,4010,1.018616828966527,3941.3325540727437,1.017422393311191,Call,SPXW,SPXW220930C04010000,49.95,0.2347,0.03661147002828655,0.9982974264110369
2022-09-30,17,0.04654346338124572,4015,1.0198869247632434,3941.3325540727437,1.0186909997866413,Call,SPXW,SPXW220930C04015000,47.9,0.2338,0.03661147002828655,0.9982974264110369
2022-09-30,17,0.04654346338124572,4020,1.0211570205599596,3941.3325540727437,1.0199596062620917,Call,SPXW,SPXW220930C04020000,45.95,0.233,0.03661147002828655,0.9982974264110369
2022-09-30,17,0.04654346338124572,4025,1.022427116356676,3941.3325540727437,1.021228212737542,Call,SPXW,SPXW220930C04025000,44.0,0.2321,0.03661147002828655,0.9982974264110369
2022-09-30,17,0.04654346338124572,4030,1.0236972121533925,3941.3325540727437,1.0224968192129924,Call,SPXW,SPXW220930C04030000,42.150000000000006,0.2313,0.03661147002828655,0.9982974264110369
2022-09-30,17,0.04654346338124572,4035,1.0249673079501087,3941.3325540727437,1.0237654256884428,Call,SPXW,SPXW220930C04035000,40.25,0.2302,0.03661147002828655,0.9982974264110369
2022-09-30,17,0.04654346338124572,4040,1.0262374037468251,3941.3325540727437,1.025034032163893,Call,SPXW,SPXW220930C04040000,38.55,0.2296,0.03661147002828655,0.9982974264110369
2022-09-30,17,0.04654346338124572,4045,1.0275074995435416,3941.3325540727437,1.0263026386393435,Call,SPXW,SPXW220930C04045000,36.849999999999994,0.2289,0.03661147002828655,0.9982974264110369
2022-09-30,17,0.04654346338124572,4050,1.0287775953402578,3941.3325540727437,1.0275712451147938,Call,SPXW,SPXW220930C04050000,35.150000000000006,0.2279,0.03661147002828655,0.9982974264110369
2022-09-30,17,0.04654346338124572,4055,1.0300476911369743,3941.3325540727437,1.0288398515902442,Call,SPXW,SPXW220930C04055000,33.55,0.2272,0.03661147002828655,0.9982974264110369
