Maturity_years,Zero_coupon_rate_decimal,Zero_coupon_rate_percent,Discount_factor
5.423964549010,0.035562079366,3.556207936613,0.824574768400
5.428965680650,0.035559084494,3.555908449363,0.824441534825
5.433966812290,0.035556093917,3.555609391658,0.824308328230
5.438967943931,0.035553107638,3.555310763811,0.824175148541
5.443969075571,0.035550125661,3.555012566134,0.824041995686
5.448970207212,0.035547147989,3.554714798935,0.823908869591
5.453971338852,0.035544174625,3.554417462518,0.823775770183
5.458972470493,0.035541205572,3.554120557185,0.823642697390
5.463973602133,0.035538240832,3.553824083234,0.823509651139
5.468974733773,0.035535280410,3.553528040962,0.823376631357
5.473975865414,0.035532324307,3.553232430661,0.823243637973
5.478976997054,0.035529372526,3.552937252620,0.823110670913
5.483978128695,0.035526425071,3.552642507126,0.822977730105
5.488979260335,0.035523481945,3.552348194462,0.822844815479
5.493980391976,0.035520543149,3.552054314909,0.822711926961
5.498981523616,0.035517608687,3.551760868744,0.822579064480
5.503982655256,0.035514678562,3.551467856242,0.822446227965
5.508983786897,0.035511752777,3.551175277675,0.822313417343
5.513984918537,0.035508831333,3.550883133310,0.822180632545
5.518986050178,0.035505914234,3.550591423414,0.822047873498
5.523987181818,0.035503001482,3.550300148250,0.821915140131
5.528988313459,0.035500093081,3.550009308076,0.821782432374
5.533989445099,0.035497189032,3.549718903151,0.821649750156
5.538990576739,0.035494289337,3.549428933727,0.821517093406
5.543991708380,0.035491394001,3.549139400057,0.821384462053
5.548992840020,0.035488503024,3.548850302388,0.821251856028
5.553993971661,0.035485616410,3.548561640965,0.821119275259
5.558995103301,0.035482734160,3.548273416032,0.820986719678
5.563996234942,0.035479856278,3.547985627826,0.820854189213
5.568997366582,0.035476982766,3.547698276587,0.820721683795
5.573998498222,0.035474113625,3.547411362546,0.820589203355
5.578999629863,0.035471248859,3.547124885936,0.820456747822
5.584000761503,0.035468388470,3.546838846985,0.820324317127
5.589001893144,0.035465532459,3.546553245917,0.820191911202
5.594003024784,0.035462680830,3.546268082956,0.820059529976
5.599004156425,0.035459833583,3.545983358322,0.819927173380
5.604005288065,0.035456990722,3.545699072231,0.819794841347
5.609006419705,0.035454152249,3.545415224899,0.819662533806
5.614007551346,0.035451318165,3.545131816536,0.819530250690
5.619008682986,0.035448488474,3.544848847351,0.819397991930
5.624009814627,0.035445663176,3.544566317551,0.819265757457
5.629010946267,0.035442842273,3.544284227339,0.819133547203
5.634012077908,0.035440025769,3.544002576916,0.819001361101
5.639013209548,0.035437213665,3.543721366479,0.818869199081
5.644014341188,0.035434405962,3.543440596224,0.818737061077
5.649015472829,0.035431602663,3.543160266343,0.818604947020
5.654016604469,0.035428803770,3.542880377026,0.818472856843
5.659017736110,0.035426009285,3.542600928461,0.818340790479
5.664018867750,0.035423219208,3.542321920831,0.818208747860
5.669019999391,0.035420433543,3.542043354319,0.818076728919
5.674021131031,0.035417652291,3.541765229105,0.817944733589
5.679022262671,0.035414875454,3.541487545364,0.817812761804
5.684023394312,0.035412103033,3.541210303271,0.817680813495
5.689024525952,0.035409335030,3.540933502997,0.817548888597
5.694025657593,0.035406571447,3.540657144710,0.817416987044
5.699026789233,0.035403812286,3.540381228578,0.817285108768
5.704027920874,0.035401057548,3.540105754764,0.817153253704
5.709029052514,0.035398307234,3.539830723428,0.817021421785
5.714030184154,0.035395561347,3.539556134729,0.816889612946
5.719031315795,0.035392819888,3.539281988824,0.816757827121
5.724032447435,0.035390082859,3.539008285865,0.816626064243
5.729033579076,0.035387350260,3.538735026003,0.816494324249
5.734034710716,0.035384622094,3.538462209386,0.816362607071
5.739035842356,0.035381898362,3.538189836161,0.816230912644
5.744036973997,0.035379179065,3.537917906471,0.816099240905
5.749038105637,0.035376464205,3.537646420455,0.815967591786
5.754039237278,0.035373753783,3.537375378253,0.815835965225
5.759040368918,0.035371047800,3.537104780001,0.815704361155
5.764041500559,0.035368346258,3.536834625831,0.815572779513
5.769042632199,0.035365649159,3.536564915875,0.815441220233
5.774043763839,0.035362956503,3.536295650260,0.815309683252
5.779044895480,0.035360268291,3.536026829114,0.815178168505
5.784046027120,0.035357584526,3.535758452558,0.815046675928
5.789047158761,0.035354905207,3.535490520715,0.814915205457
5.794048290401,0.035352230337,3.535223033703,0.814783757029
5.799049422042,0.035349559916,3.534955991637,0.814652330579
5.804050553682,0.035346893946,3.534689394633,0.814520926044
5.809051685322,0.035344232428,3.534423242802,0.814389543361
5.814052816963,0.035341575363,3.534157536251,0.814258182467
5.819053948603,0.035338922751,3.533892275089,0.814126843297
5.824055080244,0.035336274594,3.533627459419,0.813995525790
5.829056211884,0.035333630893,3.533363089344,0.813864229882
5.834057343525,0.035330991650,3.533099164962,0.813732955511
5.839058475165,0.035328356864,3.532835686371,0.813601702614
5.844059606805,0.035325726537,3.532572653667,0.813470471128
5.849060738446,0.035323100669,3.532310066941,0.813339260991
5.854061870086,0.035320479263,3.532047926283,0.813208072142
5.859063001727,0.035317862318,3.531786231783,0.813076904517
5.864064133367,0.035315249835,3.531524983525,0.812945758055
5.869065265008,0.035312641816,3.531264181593,0.812814632694
5.874066396648,0.035310038261,3.531003826067,0.812683528373
5.879067528288,0.035307439170,3.530743917027,0.812552445029
5.884068659929,0.035304844545,3.530484454550,0.812421382602
5.889069791569,0.035302254387,3.530225438708,0.812290341031
5.894070923210,0.035299668696,3.529966869575,0.812159320253
5.899072054850,0.035297087472,3.529708747221,0.812028320208
5.904073186491,0.035294510717,3.529451071712,0.811897340836
5.909074318131,0.035291938431,3.529193843114,0.811766382075
5.914075449771,0.035289370615,3.528937061490,0.811635443865
5.919076581412,0.035286807269,3.528680726901,0.811504526145
5.924077713052,0.035284248394,3.528424839406,0.811373628855
5.929078844693,0.035281693991,3.528169399062,0.811242751935
5.934079976333,0.035279144059,3.527914405921,0.811111895324
5.939081107974,0.035276598600,3.527659860038,0.810981058964
5.944082239614,0.035274057615,3.527405761461,0.810850242793
5.949083371254,0.035271521102,3.527152110239,0.810719446753
5.954084502895,0.035268989064,3.526898906416,0.810588670784
5.959085634535,0.035266461500,3.526646150038,0.810457914825
5.964086766176,0.035263938411,3.526393841144,0.810327178819
5.969087897816,0.035261419798,3.526141979775,0.810196462706
5.974089029457,0.035258905660,3.525890565967,0.810065766427
5.979090161097,0.035256395998,3.525639599755,0.809935089923
5.984091292737,0.035253890812,3.525389081173,0.809804433135
5.989092424378,0.035251390103,3.525139010251,0.809673796004
5.994093556018,0.035248893870,3.524889387019,0.809543178473
5.999094687659,0.035246402115,3.524640211501,0.809412580483
6.004095819299,0.035243914837,3.524391483724,0.809282001975
6.009096950940,0.035241432037,3.524143203709,0.809151442892
6.014098082580,0.035238953715,3.523895371478,0.809020903176
6.019099214220,0.035236479870,3.523647987048,0.808890382768
6.024100345861,0.035234010504,3.523401050436,0.808759881612
6.029101477501,0.035231545617,3.523154561657,0.808629399649
6.034102609142,0.035229085207,3.522908520722,0.808498936822
6.039103740782,0.035226629276,3.522662927642,0.808368493074
6.044104872423,0.035224177824,3.522417782425,0.808238068348
6.049106004063,0.035221730851,3.522173085078,0.808107662586
6.054107135703,0.035219288356,3.521928835604,0.807977275732
6.059108267344,0.035216850340,3.521685034007,0.807846907729
6.064109398984,0.035214416803,3.521441680286,0.807716558520
6.069110530625,0.035211987744,3.521198774440,0.807586228050
6.074111662265,0.035209563165,3.520956316465,0.807455916261
6.079112793906,0.035207143064,3.520714306356,0.807325623097
6.084113925546,0.035204727441,3.520472744105,0.807195348502
6.089115057186,0.035202316297,3.520231629702,0.807065092421
6.094116188827,0.035199909631,3.519990963137,0.806934854797
6.099117320467,0.035197507444,3.519750744396,0.806804635574
6.104118452108,0.035195109735,3.519510973464,0.806674434698
6.109119583748,0.035192716503,3.519271650323,0.806544252112
6.114120715388,0.035190327750,3.519032774955,0.806414087762
6.119121847029,0.035187943473,3.518794347338,0.806283941592
6.124122978669,0.035185563675,3.518556367451,0.806153813547
6.129124110310,0.035183188353,3.518318835267,0.806023703572
